HS_299,HS_644,HS_672,HS_678,HS_694,HS_696,HS_698,HS_701,HS_702,HS_703
ENSG00000131584.19,1575,1187,1946,1198,2017,1449,382,1848,1762,1769
ENSG00000278073.1,0,0,0,0,0,0,0,0,0,0
ENSG00000169972.13,152,98,144,160,169,112,36,136,115,141
ENSG00000127054.22,1567,1256,1900,1732,1875,1716,1014,1791,1718,1755
ENSG00000283712.1,0,0,0,0,0,0,0,0,0,0
ENSG00000240731.1,45,33,67,21,30,95,33,84,88,101
ENSG00000224051.7,307,262,375,543,440,338,93,283,304,274
ENSG00000169962.5,32,19,133,55,43,50,16,41,33,60
ENSG00000107404.21,582,342,659,493,664,515,193,583,665,604
ENSG00000284372.1,0,0,0,0,0,0,0,0,0,0
ENSG00000162576.17,125,98,208,45,89,66,22,221,187,208
ENSG00000175756.14,909,708,1239,1814,1197,830,111,811,729,810
ENSG00000223663.2,0,2,0,0,2,1,0,0,2,2
ENSG00000221978.13,3522,2755,4318,3163,2831,4556,3428,5403,5434,5036
ENSG00000224870.9,301,199,296,332,287,227,136,263,323,314
ENSG00000242485.6,538,539,744,738,617,663,541,583,657,581
ENSG00000264293.2,0,0,0,0,0,0,0,0,0,0
ENSG00000272455.1,22,45,34,38,9,33,17,31,62,50
ENSG00000235098.9,1,0,3,0,0,0,0,0,2,3
ENSG00000225905.1,0,0,0,0,0,0,0,0,0,0
ENSG00000205116.4,0,0,0,0,0,0,0,0,0,0
ENSG00000225285.1,0,0,0,0,0,3,0,0,0,0
ENSG00000179403.12,0,0,0,0,2,0,0,0,0,0
ENSG00000215915.10,25,9,7,8,6,18,8,9,14,22
ENSG00000160072.20,705,443,691,640,567,593,264,775,768,767
ENSG00000290916.1,3,0,0,1,0,1,0,1,0,3
ENSG00000284740.3,0,0,0,0,0,0,0,0,0,0
ENSG00000197785.14,224,155,277,231,218,188,70,245,224,233
ENSG00000205090.10,8,6,18,17,11,10,4,12,10,5
ENSG00000160075.12,2169,1991,2735,2967,2284,2531,2531,2356,2202,2176
ENSG00000215014.5,9,10,26,13,7,14,8,35,21,8
ENSG00000274481.1,0,0,0,0,0,0,0,0,0,0
ENSG00000228594.4,86,40,109,75,101,45,22,104,54,83
ENSG00000286989.1,25,16,37,29,57,20,6,47,27,27
