"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Y_RNA.60",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.61",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"Y_RNA.62",1.79214846933702,-0.445332349911892,0.89243982694546,-0.499005463971867,0.617775534783044,NA
"RPS4Y2",0.978333833143118,-0.449578877063218,3.01244522994751,-0.149240514846158,0.881363851725245,NA
"RPL34P16",0.874572197940033,2.30992684616672,1.59414655074112,1.44900532833248,0.147336094563324,NA
"SLC44A3-AS1",0.837689569490159,1.23266824117718,1.20746336951045,1.02087423296074,0.307314028467015,NA
"RPS2P15",0.83185208035496,2.01199290058129,1.8150095466454,1.10853020266476,0.267632902857554,NA
"FKBP6P2",0.747390837452242,-0.628471391618223,1.95181026177304,-0.321994101541056,0.747457163041126,NA
"RN7SKP230",0.723838272989065,0.932049646757013,2.5874121283523,0.360224657117362,0.718679137001506,NA
"CPLANE1-AS1",0.648365015056318,1.81822841016771,1.75889542294558,1.03373309546895,0.301260956644793,NA
"LINC02733",0.647577718459511,0.275769405945996,3.00981785028938,0.0916232874090643,0.926997348594819,NA
"TEKT5",0.608510267473326,1.09342989141458,2.36818956734169,0.461715525857149,0.644285335691536,NA
"SNORA63",0.600021063574978,-1.55884955524545,2.42540887201128,-0.642716192405438,0.520408272215076,NA
"SNORA70",0.572040976914362,-0.726210456873386,2.44915676138213,-0.296514485444192,0.76683720630625,NA
"SNORA70.1",0.572040976914362,-0.726210456873386,2.44915676138213,-0.296514485444192,0.76683720630625,NA
"SNORA70.2",0.572040976914362,-0.726210456873386,2.44915676138213,-0.296514485444192,0.76683720630625,NA
"NIFKP3",0.558083827501656,1.7901202830028,1.84503943125806,0.970234160135097,0.331929787021003,NA
"RNU6-810P",0.556560633675509,0.467180769709017,3.00032882447946,0.155709856165539,0.876261727840996,NA
"RABGAP1L-IT1",0.554565475691278,1.61237161108982,2.10346652709688,0.766530672258973,0.443360608631496,NA
"PRKCA-AS1",0.553300457090067,1.50047601318659,2.08443005307821,0.719849539192134,0.471617639674919,NA
"RNU6-483P",0.552546671529014,0.732347584146387,3.00012666399081,0.244105554920874,0.807149070461634,NA
"NEUROD2",0.536249765117705,1.2233192960664,2.43885380131918,0.501595993742925,0.615951738081993,NA
"ULK4P3",0.528220745181341,-0.048080786829089,2.42163651482813,-0.0198546670958591,0.984159308425214,NA
"RPSAP70",0.525793627597563,-0.152125813046697,3.01319074833289,-0.0504866189207782,0.959734612361122,NA
"RAB41",0.524560507452385,1.19451378608371,2.47339748591564,0.482944529896902,0.629135122666852,NA
"LYPD1",0.516487002834315,0.4836309306939,3.00330722045931,0.161032786589157,0.872067577653635,NA
"CIMAP1D",0.512329812047577,1.60926217467721,1.90534976981816,0.844601972912719,0.398333107152769,NA
"GTF2IRD1P1",0.508530022205182,-0.910225185758925,1.91822638292817,-0.474513954067021,0.635133449672541,NA
"AKR1C6P",0.496755236489856,0.996617384778249,2.91782251608893,0.341562031029263,0.732680515257582,NA
"MINDY4",0.496415833431914,1.04529372962157,2.91624838576886,0.358437825365817,0.7200156889721,NA
"LINC01217",0.49540670521933,0.54290931314832,3.00829129221758,0.180470991806153,0.856782825660791,NA
"LINC00390",0.489947303981779,0.992499267767186,2.91834755125328,0.340089468555915,0.733789152480561,NA
"MAPK8IP1P1",0.489166916571559,-0.453194466997157,3.01369133489835,-0.15037852806928,0.880465980745844,NA
"RBPMSLP",0.474817562939135,0.681826311150279,3.00813422850165,0.226660866622929,0.820687459045685,NA
"PRELID3BP11",0.473690909409901,0.30089359966583,3.00861365957908,0.10001071380761,0.920335819704051,NA
"JAKMIP3-AS1",0.459925630212949,0.209885734998794,3.00321219724036,0.069887081303032,0.944283535613679,NA
"CCDC70",0.456397388808203,0.782972741250547,2.99404387165516,0.26151010967575,0.793699154310309,NA
"LEMD1-DT",0.454880285976003,1.21691122562369,2.55719441072711,0.47587747748818,0.63416166866071,NA
"C9",0.452120325933019,0.489258763538544,3.0079911708808,0.162652991895345,0.870791661013332,NA
"GORAB-AS1",0.441829224051362,0.920456982663071,3.00171378057517,0.306643820813155,0.759114495260048,NA
"EGR4",0.440342184229252,0.628917385863706,3.00710023719801,0.209144137625996,0.834335719665686,NA
"NUS1P3",0.440250224914403,-0.453982490753507,3.01396443471489,-0.150626359596195,0.880270466676964,NA
"MIR4714",0.439236948568262,0.918205929715873,3.00588172755736,0.305469746629727,0.760008408215236,NA
"RPL34P21",0.436167095713436,0.643033769774206,3.00296762053305,0.214132768324709,0.830443522966103,NA
"SLC34A2",0.43030476290018,1.12939927755136,2.62801833229185,0.429753196038944,0.667375182630429,NA
"SRP72P2",0.428089019020617,1.17444273042326,2.63206985881329,0.446204999647229,0.655449171772929,NA
"C8orf48",0.42750979297628,0.307985605187519,3.00821339904469,0.102381568171103,0.91845381325627,NA
"HORMAD2",0.424394005519826,0.922285410450895,3.00556449076566,0.306859298239828,0.758950470639573,NA
"JAKMIP2-AS1",0.420053426943786,0.666272289351741,3.00880777946163,0.221440629707146,0.824749359624968,NA
"LINC02524",0.419195854176002,-0.536021311642859,3.01243144969592,-0.177936434602343,0.858772896730668,NA
"RPS27P15",0.419031161364252,0.123661529817125,3.01166699150279,0.0410608245088277,0.967247405760612,NA
"TAS2R8",0.418885288817212,0.46717033749611,3.00697894895415,0.15536202461896,0.876535920564361,NA
