,symbol
ENSG00000258420,LONRF2P3
ENSG00000235597,LINC01102
ENSG00000286274,ENSG00000286274
ENSG00000275101,MIR6766
ENSG00000271899,MIR4466
ENSG00000233646,OR52T1P
ENSG00000235207,TUBBP6
ENSG00000163762,TM4SF18
ENSG00000229791,ENSG00000229791
ENSG00000288603,SNORA74C-2
ENSG00000248827,ENSG00000248827
ENSG00000255035,SDHCP4
ENSG00000279337,ENSG00000279337
ENSG00000207420,Y_RNA
ENSG00000213900,RPS17P1
ENSG00000227069,CNN2P2
ENSG00000227857,ENSG00000227857
ENSG00000238835,SCARNA18
ENSG00000166415,WDR72
ENSG00000265174,ENSG00000265174
ENSG00000285188,PDE4C
ENSG00000276992,ENSG00000276992
ENSG00000205861,PCOTH
ENSG00000201709,RNU6-686P
ENSG00000214141,ACTN4P2
ENSG00000263717,ENSG00000263717
ENSG00000174576,NPAS4
ENSG00000239628,ENSG00000239628
ENSG00000223837,ENSG00000223837
ENSG00000259680,IGHV3OR16-17
ENSG00000152467,ZSCAN1
ENSG00000252112,SNORD63
ENSG00000273217,ENSG00000273217
ENSG00000249193,HSPD1P5
ENSG00000229402,ENSG00000229402
ENSG00000197921,HES5
ENSG00000255856,ENSG00000255856
ENSG00000289897,ENSG00000289897
ENSG00000286500,ENSG00000286500
ENSG00000287098,ENSG00000287098
ENSG00000242062,MARK2P6
ENSG00000271697,ENSG00000271697
ENSG00000236138,DUX4L26
ENSG00000130988,RGN
ENSG00000226556,NPM1P49
ENSG00000186143,PRR30
ENSG00000238719,RNU7-96P
ENSG00000199874,RNA5SP452
ENSG00000196350,ZNF729
ENSG00000213137,ARF1P2
ENSG00000237743,FBP2P1
ENSG00000202224,Y_RNA
ENSG00000293275,ENSG00000293275
ENSG00000240328,ENSG00000240328
ENSG00000213560,ENSG00000213560
ENSG00000207965,MIR629
ENSG00000168959,GRM5
ENSG00000132026,RTBDN
ENSG00000231188,ENSG00000231188
ENSG00000227769,ENSG00000227769
ENSG00000212517,ENSG00000212517
ENSG00000273172,LINC02091
ENSG00000230274,PGAM1P3
ENSG00000259134,LINC00924
ENSG00000290080,ENSG00000290080
ENSG00000206895,Y_RNA
ENSG00000251633,GYG1P1
ENSG00000258196,ENSG00000258196
ENSG00000251803,Y_RNA
ENSG00000259909,ENSG00000259909
ENSG00000224920,TACC1P1
ENSG00000258975,ENSG00000258975
ENSG00000264063,ENSG00000264063
ENSG00000271134,IFITM3P9
ENSG00000286459,ENSG00000286459
ENSG00000280778,ENSG00000280778
ENSG00000231422,LINC01516
ENSG00000225620,ENSG00000225620
ENSG00000221900,POM121L12
ENSG00000236963,LINC01141
ENSG00000235315,RPL23AP69
ENSG00000224540,TFDP1P1
ENSG00000225146,ENSG00000225146
ENSG00000276958,ENSG00000276958
ENSG00000124835,ENSG00000124835
ENSG00000240990,HOXA11-AS
ENSG00000242360,RN7SL272P
ENSG00000145283,SLC10A6
ENSG00000258788,CKS1BP1
ENSG00000183114,FAM43B
ENSG00000258415,LONRF2P4
ENSG00000233995,ENSG00000233995
ENSG00000255909,PDCD5P1
ENSG00000230960,ENSG00000230960
ENSG00000220557,HMGB1P13
ENSG00000225417,ENSG00000225417
ENSG00000136698,CFC1
ENSG00000238176,ENSG00000238176
ENSG00000215110,UGT2B25P
ENSG00000186393,KRT26
ENSG00000258854,ENSG00000258854
ENSG00000286826,ENSG00000286826
ENSG00000234892,ENSG00000234892
ENSG00000171987,C11orf40
ENSG00000201654,RNU6-7
ENSG00000260087,PCMTD1P2
ENSG00000253504,MTCYBP19
ENSG00000254303,ENSG00000254303
ENSG00000280302,ENSG00000280302
ENSG00000219302,ENSG00000219302
ENSG00000275789,MIR8064
ENSG00000284723,OR8S1
ENSG00000280703,ENSG00000280703
ENSG00000178279,TNP2
ENSG00000147262,GPR119
ENSG00000276535,ENSG00000276535
ENSG00000281248,LINC02536
ENSG00000214940,NPIPA8
ENSG00000260062,GOLGA2P11
ENSG00000207243,Y_RNA
ENSG00000285970,ENSG00000285970
ENSG00000234144,COX6CP13
ENSG00000205100,HSP90AA4P
ENSG00000206959,Y_RNA
ENSG00000235028,HMGN1P30
ENSG00000253208,PSME2P5
ENSG00000239519,CADM2-AS1
ENSG00000290734,ENSG00000290734
ENSG00000237442,HNRNPA1P57
ENSG00000227406,RNF6P1
ENSG00000289369,ENSG00000289369
ENSG00000170927,PKHD1
ENSG00000253177,ENSG00000253177
ENSG00000273933,ENSG00000273933
ENSG00000253265,IGKV2-14
ENSG00000169783,LINGO1
ENSG00000181541,MAB21L2
ENSG00000231390,SNX18P8
ENSG00000288079,ENSG00000288079
ENSG00000243230,ENSG00000243230
ENSG00000226650,KIF4B
ENSG00000238723,Y_RNA
ENSG00000286123,ENSG00000286123
ENSG00000221634,MIR1276
ENSG00000265789,MIR4330
ENSG00000279302,ENSG00000279302
ENSG00000281641,SAMD12-AS1
ENSG00000257611,ENSG00000257611
ENSG00000199977,SNORA73
ENSG00000201218,Y_RNA
ENSG00000253858,ENSG00000253858
ENSG00000175311,ANKS4B
ENSG00000226096,ENSG00000226096
ENSG00000256951,ENSG00000256951
ENSG00000229211,KCTD9P6
ENSG00000226708,ENSG00000226708
ENSG00000218890,NUFIP1P1
ENSG00000267484,ENSG00000267484
ENSG00000261191,ENSG00000261191
ENSG00000227684,CROCCP4
ENSG00000285564,ENSG00000285564
ENSG00000230948,AURKBP1
ENSG00000179407,DNAJB8
ENSG00000270395,MREGP1
ENSG00000287773,ENSG00000287773
ENSG00000293288,ENSG00000293288
ENSG00000234413,MPV17L2P1
ENSG00000254053,IGHVIII-5-2
ENSG00000274611,TBC1D3
ENSG00000227834,ENSG00000227834
ENSG00000278586,ENSG00000278586
ENSG00000258866,ENSG00000258866
ENSG00000164532,TBX20
ENSG00000226048,YBX1P8
ENSG00000206927,Y_RNA
ENSG00000212228,ENSG00000212228
ENSG00000219409,ENSG00000219409
ENSG00000184809,B3GALT5-AS1
ENSG00000267650,ENSG00000267650
ENSG00000235988,ENSG00000235988
ENSG00000273259,ENSG00000273259
ENSG00000177770,CDKN2AIPNLP1
ENSG00000233402,TARDBPP1
ENSG00000233153,UBE2E2-DT
ENSG00000125414,MYH2
ENSG00000251151,HOXC-AS3
ENSG00000187003,ACTL7A
ENSG00000213238,ENSG00000213238
