HS_299,HS_644,HS_672,HS_678,HS_694,HS_696,HS_698,HS_701,HS_702,HS_703
ENSG00000131584.19,960,496,1196,248,1273,1328,1055,1232,1517,1170
ENSG00000278073.1,0,0,0,0,0,0,0,0,0,0
ENSG00000169972.13,90,46,89,33,88,80,61,74,91,57
ENSG00000127054.22,934,399,1030,383,1229,1206,1221,1058,1307,1040
ENSG00000283712.1,0,0,0,0,0,0,0,0,0,0
ENSG00000240731.1,42,18,45,8,40,41,48,41,59,38
ENSG00000224051.7,197,88,181,97,244,223,170,168,195,156
ENSG00000169962.5,33,8,60,10,40,36,41,25,6,22
ENSG00000107404.21,349,101,358,74,385,397,384,316,465,326
ENSG00000284372.1,0,0,0,0,0,0,0,0,0,0
ENSG00000162576.17,97,34,127,14,76,90,124,123,190,141
ENSG00000175756.14,401,262,419,237,444,438,358,402,454,358
ENSG00000223663.2,0,0,0,0,0,0,0,0,0,1
ENSG00000221978.13,1794,873,2390,902,1823,2534,2210,2298,3434,2495
ENSG00000224870.9,160,83,198,47,198,181,252,114,231,170
ENSG00000242485.6,311,167,329,152,392,334,374,248,469,307
ENSG00000264293.2,0,0,0,0,0,0,0,0,0,0
ENSG00000272455.1,8,9,13,10,5,8,18,15,23,31
ENSG00000235098.9,0,5,1,0,0,0,0,0,0,1
ENSG00000225905.1,0,0,0,0,0,0,0,0,0,0
ENSG00000205116.4,0,0,0,0,0,0,1,0,0,0
ENSG00000225285.1,0,0,0,0,0,0,0,0,0,0
ENSG00000179403.12,0,0,0,0,1,1,0,0,1,0
ENSG00000215915.10,8,0,4,8,3,4,7,10,9,2
ENSG00000160072.20,395,131,360,148,362,348,452,386,534,375
ENSG00000290916.1,0,0,1,0,0,0,0,0,0,0
ENSG00000284740.3,0,0,0,0,0,0,0,0,0,0
ENSG00000197785.14,154,45,141,47,116,107,161,128,186,90
ENSG00000205090.10,9,5,4,2,3,21,16,9,11,8
ENSG00000160075.12,1010,597,1232,606,1435,1307,1337,937,1423,1032
ENSG00000215014.5,6,5,16,0,14,10,8,4,17,11
ENSG00000274481.1,0,0,0,0,0,0,0,0,0,0
ENSG00000228594.4,58,24,68,12,59,37,45,46,52,39
ENSG00000286989.1,12,7,21,2,17,24,22,30,20,23
ENSG00000272106.1,55,11,61,11,60,43,23,64,70,31
ENSG00000197530.13,1233,449,1306,280,1299,1213,1360,1450,1272,1756
ENSG00000189409.14,24,4,9,2,23,18,24,24,19,49
ENSG00000248333.9,846,369,957,449,1039,902,961,737,1013,764
ENSG00000272004.1,2,0,0,0,1,2,0,0,0,0
ENSG00000189339.12,1560,330,1311,488,1685,1962,1773,971,2332,1245
ENSG00000293187.1,28,15,40,2,44,56,49,64,59,48
ENSG00000269737.3,6,6,9,2,12,13,12,16,21,21
ENSG00000215914.4,5,0,6,0,0,4,11,7,4,1
ENSG00000008128.23,103,48,162,53,89,170,140,166,129,108
ENSG00000268575.1,58,21,85,8,70,106,82,90,143,90
ENSG00000293188.1,103,128,251,56,122,150,192,373,251,319
ENSG00000290854.1,50,30,57,20,59,56,54,58,92,95
ENSG00000215790.9,0,0,0,0,0,0,0,0,0,0
ENSG00000227775.4,0,0,0,0,0,0,0,0,0,0
ENSG00000008130.15,6321,3987,7653,3428,6789,8191,5585,7076,6691,6226
ENSG00000078369.19,4689,2026,4277,1917,6195,4965,4702,3309,4511,3376
ENSG00000231050.3,0,0,0,0,0,0,1,3,0,0
ENSG00000169885.10,7,2,6,0,0,0,9,7,6,10
ENSG00000178821.13,0,0,0,4,0,0,1,0,2,1
